"Reference","Qty","Value","DNP","Exclude from BOM","Datasheet","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Value 2M","Description"
"R74,R75","2","5.1k/1%/R0402","","","","RC0402FR-075K1L","","","",""
"R77","1","6.04k/1%/R0402","","","","RC0402FR-076K04L","","","",""
"R78","1","2k/1%/R0402","","","","RC0402FR-072KL","","","",""
"R79","1","3.01k/1%/R0402","","","","RC0402FR-073K01L","","","",""
"RM1,RM2","2","RA1206_(4x0603)_4B8_10k","","","","CAT16-103J4LF","","","",""
"RM3","1","NA(RA1206_(4x0603)_4B8_10k)","DNP","","","CAT16-103J4LF","","","RA1206_(4x0603)_4B8_10k",""
"SWD1","1","NA(HN1x3)","DNP","","","HN1x3-LF","","","",""
"U1","1","CCGM1A1(FBGA-324)","","","https://colognechip.com/docs/ds1001-gatemate1-datasheet-2022-05.pdf","CCGM1A1-BGA324","","https://www.digikey.de/de/products/detail/cologne-chip/CCGM1A1-BGA324/16087879","",""
"U2","1","HX7027(SOT-23-3)","","","","HX7027","","https://jlcpcb.com/partdetail/HX_hengjiaxing-HX7027/C2984884","",""
"U3","1","NA(ZD25WQ16CSIGT(SOIC-8_208mils))","DNP","","","ZD25WQ16CSIGT","","","ZD25WQ16CSIGT(SOIC-8_208mils)",""
"U4","1","NA(MCP120T-300I/TT(SOT-23-3))","DNP","","","MCP120T-300I/TT","","","",""
"U5,U6","2","TXB0108PWR(TSSOP-20)","","","https://www.ti.com/lit/ds/symlink/txb0108.pdf?ts=1777621802504&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTXB0108%253FkeyMatch%253DTXB0108PWR%2526tisearch%253Duniversal_search%2526usecase%253DOPN-ALT","TXB0108PWR ","595-TXB0108PWR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TXB0108PWR?qs=oFXvjAmG9EgEUWGWzOVFCA%3D%3D","",""
"U7,U9","2","LY68S3200SLT(SOIC-8_150mil)","","","LY68S3200SLT.pdf","LY68S3200SLT","","https://jlcpcb.com/partdetail/Lyontek_Inc-LY68S3200SLT/C261882","",""
"U8","1","ZD25WQ16CSIGT(SOIC-8_208mils)","","","","ZD25WQ16CSIGT","","https://www.lcsc.com/product-detail/C5353597.html","",""
"U10","1","RP2040(QFN-56_7x7mm_P0.4mm)","","","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","SC0914(13) ","358-SC091413 ","https://www.mouser.de/ProductDetail/Raspberry-Pi/SC091413?qs=T%252BzbugeAwjhr%252BUbBr3TJcw%3D%3D","",""
"U11,U12,U13,U14,U15","5","TPS62A02ADRLR(SOT-563-6)","","","https://www.ti.com/lit/ds/symlink/tps62a02a.pdf?ts=1709667174890&ref_url=https%253A%252F%252Fwww.ti.com%252Fpower-management%252Fnon-isolated-dc-dc-switching-regulators%252Fstep-down-buck%252Fproducts.html","TPS62A02ADRLR","595-TPS62A02ADRLR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TPS62A02ADRLR?qs=By6Nw2ByBD27zXzxBxM12w%3D%3D","",""
"U16","1","TLV75801PDBV","DNP","","https://www.ti.com/lit/ds/symlink/tlv758p.pdf","TLV75801PDBVR","595-TLV75801PDBVR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TLV75801PDBVR?qs=vLWxofP3U2xDujOQuzp8eQ%3D%3D","","500mA Low-Dropout Linear Regulator, Adjustable Output, SOT-23-5"
"U18","1","SiP32432DR3","DNP","","http://www.vishay.com.hk/docs/66597/sip32431.pdf","SIP32432DR3-T1GE3 ","78-SIP32432DR3-T1GE3 ","https://www.mouser.de/ProductDetail/Vishay-Semiconductors/SIP32432DR3-T1GE3?qs=wnTfsH77Xs7cPqcvWTHLUg%3D%3D","","10 pA, Ultra Low Leakage and Quiescent Current, Load Switch with Reverse Blocking, Low Enable, SC-70-6"
"UEXT1","1","P-B-V-10-LF","","","","P-B-V-10-LF","","","",""
"USB-C1","1","USB-C-16P-F(A40-00119-A52-12)","","","https://gct.co/connector/usb4105","A40-00119-A52-12","","","",""
"VDD_CORE_E1","1","Closed","DNP","","","DNP-JUMPER","","","",""
"VDD_CORE_SET1","1","H-WX-1x3-LF(1-2:Closed/2-3:Opened)","","","https://m.morethanall.com/images/products/August2018/DCG2AME650yo2wCUmrHu.pdf","H-WX-1x3-LF","","","",""
"VDD_EB_SEL1,VDD_NA_SEL1,VDD_NB_SEL1","3","H-V33X-2x03-LF(1-2:Closed)","","","","H-V33X-2x03-LF","","","",""
